epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7457,1.77097,4.08525,1.6079,0.00333,1,0.01904,0.01002,1.61266,4.28654,1.62742,6e-05,6e-05,6e-05
2,26.9164,1.22334,3.49337,1.24982,0.00333,1,0.19074,0.11881,1.19293,3.63648,1.14786,0.000138268,0.000138268,0.000138268
3,37.9291,1.19542,3.52003,1.26009,0.00333,1,0.55552,0.39142,1.02748,3.55829,1.06668,0.000214555,0.000214555,0.000214555
4,48.0945,1.13094,3.45053,1.18095,0.00333,1,0.77716,0.58587,0.94686,3.59765,1.06247,0.000288863,0.000288863,0.000288863
5,61.4893,1.16968,3.08897,1.13758,0.00333,1,0.82159,0.50573,1.04091,3.57358,1.07795,0.00036119,0.00036119,0.00036119
6,74.4638,1.16419,2.92549,1.21117,0.00333,1,0.916,0.54365,1.03322,3.61266,1.02962,0.000431538,0.000431538,0.000431538
7,86.7216,1.02504,2.58717,1.03468,0.00333,1,0.8194,0.38557,1.19804,3.66669,1.10306,0.000499905,0.000499905,0.000499905
8,100.442,1.12743,2.34196,1.13321,0.00333,1,0.94602,0.52614,1.02653,3.61885,1.00645,0.000566292,0.000566292,0.000566292
9,113.148,1.19415,2.32015,1.17771,0.00333,1,0.93975,0.62572,1.05651,3.43812,1.04542,0.0006307,0.0006307,0.0006307
10,126.871,1.2096,2.10097,1.1365,0.00333,1,0.9176,0.63541,1.01277,3.45321,1.01444,0.000693127,0.000693127,0.000693127
11,141.168,1.02822,2.11731,1.12196,0.00333,1,0.90897,0.53201,1.06818,3.42973,1.04633,0.000753575,0.000753575,0.000753575
12,154.877,1.08748,1.82613,1.05076,0.00333,1,0.85786,0.48249,1.19768,3.57936,1.1657,0.000812043,0.000812043,0.000812043
13,169.074,1.05487,1.94747,1.06607,0.00333,1,0.81774,0.42563,1.28049,3.58162,1.26912,0.00086853,0.00086853,0.00086853
14,183.04,1.10623,1.96388,1.17822,0.00333,1,0.87385,0.43863,1.23786,3.39262,1.36296,0.000923037,0.000923037,0.000923037
15,196.943,1.1477,1.83219,1.17911,0.00333,1,0.86186,0.47538,1.14589,3.29475,1.18973,0.000975565,0.000975565,0.000975565
16,209.998,1.40851,2.41931,1.29091,0.00333,1,0.86186,0.47538,1.14589,3.29475,1.18973,0.00102611,0.00102611,0.00102611
17,223.28,1.10005,1.9042,1.22914,0.00492,1,0.76714,0.48707,1.20979,3.30185,1.23913,0.00107468,0.00107468,0.00107468
18,236.338,1.03188,1.87803,1.03946,1,0.28388,0.7161,0.40112,1.21071,3.33535,1.3339,0.00112127,0.00112127,0.00112127
19,249.598,1.17121,2.02519,1.18202,1,0.28388,0.7161,0.40112,1.21071,3.33535,1.3339,0.00116588,0.00116588,0.00116588
20,263.154,1.09145,1.68663,1.11648,1,0.49138,0.63509,0.3315,1.46463,3.38124,1.5216,0.0012085,0.0012085,0.0012085
21,277.259,1.05938,1.87995,1.06517,0.81317,0.54939,0.73419,0.42446,1.54319,3.08228,1.64612,0.00124915,0.00124915,0.00124915
22,290.105,1.13528,1.77701,1.19941,0.81317,0.54939,0.73419,0.42446,1.54319,3.08228,1.64612,0.00128782,0.00128782,0.00128782
23,303.409,1.11147,1.80628,1.12596,0.8411,0.75,0.79683,0.48169,1.32556,2.93264,1.33969,0.00132451,0.00132451,0.00132451
24,318.567,1.2653,1.76868,1.18064,0.8411,0.75,0.79683,0.48169,1.32556,2.93264,1.33969,0.00135921,0.00135921,0.00135921
25,331.775,1.15379,1.5427,1.09934,1,0.62313,0.84838,0.50717,1.36557,2.7791,1.44138,0.00139194,0.00139194,0.00139194
26,344.716,0.99147,1.91552,1.06458,1,0.62313,0.84838,0.50717,1.36557,2.7791,1.44138,0.00138125,0.00138125,0.00138125
27,359.398,1.08114,1.56063,1.13622,0.72585,0.66546,0.85933,0.4567,1.30861,2.78414,1.44396,0.0013565,0.0013565,0.0013565
28,372.549,1.11161,1.50357,1.11738,0.72585,0.66546,0.85933,0.4567,1.30861,2.78414,1.44396,0.00133175,0.00133175,0.00133175
29,386.778,0.95752,1.34152,1.02336,0.81385,0.875,0.971,0.52823,1.37701,2.58177,1.4934,0.001307,0.001307,0.001307
30,403.651,1.02589,1.44737,1.13934,0.81385,0.875,0.971,0.52823,1.37701,2.58177,1.4934,0.00128225,0.00128225,0.00128225
31,417.485,0.95168,1.4026,1.10175,0.99683,0.875,0.98167,0.55293,1.29495,2.27823,1.4593,0.0012575,0.0012575,0.0012575
32,430.383,0.99032,1.532,1.16168,0.99683,0.875,0.98167,0.55293,1.29495,2.27823,1.4593,0.00123275,0.00123275,0.00123275
33,442.26,0.94703,1.43575,1.06633,1,0.99946,0.995,0.68947,1.26997,2.30984,1.39555,0.001208,0.001208,0.001208
34,453.677,0.9698,1.4391,1.14213,1,0.99946,0.995,0.68947,1.26997,2.30984,1.39555,0.00118325,0.00118325,0.00118325
