epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,474.926,0.9857,1.64771,1.17671,0.98051,1,0.995,0.65982,1.28014,2.26663,1.36043,0.0011585,0.0011585,0.0011585
36,494.135,0.87757,1.43682,1.0835,0.98051,1,0.995,0.65982,1.28014,2.26663,1.36043,0.00113375,0.00113375,0.00113375
37,509.374,0.94803,1.45958,1.08689,0.98308,1,0.995,0.62736,1.25521,1.94611,1.31878,0.001109,0.001109,0.001109
38,522.261,0.83915,1.33959,1.01252,0.98308,1,0.995,0.62736,1.25521,1.94611,1.31878,0.00108425,0.00108425,0.00108425
39,537.302,0.80142,1.23516,0.98298,0.99885,1,0.995,0.63862,1.2048,1.83397,1.33544,0.0010595,0.0010595,0.0010595
40,550.521,0.83695,1.33527,1.08084,0.99885,1,0.995,0.63862,1.2048,1.83397,1.33544,0.00103475,0.00103475,0.00103475
41,564.412,0.95365,1.41327,1.17948,0.87511,1,0.98167,0.61225,1.16784,1.68235,1.39033,0.00101,0.00101,0.00101
42,577.676,0.75418,1.05517,0.95179,0.87511,1,0.98167,0.61225,1.16784,1.68235,1.39033,0.00098525,0.00098525,0.00098525
43,590.279,0.9633,1.39826,1.15695,0.98567,1,0.995,0.63329,1.2475,1.63624,1.58546,0.0009605,0.0009605,0.0009605
44,603.754,0.95535,1.41387,1.1563,0.98567,1,0.995,0.63329,1.2475,1.63624,1.58546,0.00093575,0.00093575,0.00093575
45,616.852,0.97401,1.20555,1.07811,0.99186,1,0.995,0.62655,1.27566,1.73548,1.62644,0.000911,0.000911,0.000911
46,630.426,0.97248,1.34676,1.09693,0.99186,1,0.995,0.62655,1.27566,1.73548,1.62644,0.00088625,0.00088625,0.00088625
47,643.753,0.82971,1.3372,1.12209,0.99139,1,0.995,0.59629,1.37409,1.78793,1.65856,0.0008615,0.0008615,0.0008615
48,656.582,0.81847,1.12817,1.02787,0.99139,1,0.995,0.59629,1.37409,1.78793,1.65856,0.00083675,0.00083675,0.00083675
49,670.099,1.00218,1.39078,1.22379,1,0.99708,0.995,0.58516,1.39034,1.73999,1.65536,0.000812,0.000812,0.000812
50,695.042,0.92596,1.13361,1.08444,1,0.99708,0.995,0.58516,1.39034,1.73999,1.65536,0.00078725,0.00078725,0.00078725
51,716.869,0.76494,1.22274,1.02078,1,0.99578,0.995,0.59252,1.43663,1.78639,1.63419,0.0007625,0.0007625,0.0007625
52,730.075,0.81916,1.14804,1.05472,1,0.99578,0.995,0.59252,1.43663,1.78639,1.63419,0.00073775,0.00073775,0.00073775
53,743.931,0.77133,1.10919,1.02202,0.98735,1,0.995,0.6262,1.41124,1.63547,1.56295,0.000713,0.000713,0.000713
54,754.723,0.85096,1.14785,1.00551,0.98735,1,0.995,0.6262,1.41124,1.63547,1.56295,0.00068825,0.00068825,0.00068825
55,765.46,0.82476,1.0592,1.02581,0.98599,1,0.995,0.64604,1.36336,1.56993,1.5524,0.0006635,0.0006635,0.0006635
56,775.95,0.77699,1.01819,0.96704,0.98599,1,0.995,0.64604,1.36336,1.56993,1.5524,0.00063875,0.00063875,0.00063875
57,786.665,0.78083,1.18732,1.04782,0.98766,1,0.995,0.62951,1.32875,1.59822,1.51203,0.000614,0.000614,0.000614
58,797.205,0.73401,1.06597,0.97807,0.98766,1,0.995,0.62951,1.32875,1.59822,1.51203,0.00058925,0.00058925,0.00058925
59,808.365,0.79062,1.16503,0.98325,0.99002,1,0.995,0.65408,1.26092,1.61112,1.47351,0.0005645,0.0005645,0.0005645
60,818.917,0.77909,0.97427,0.98668,0.99002,1,0.995,0.65408,1.26092,1.61112,1.47351,0.00053975,0.00053975,0.00053975
61,829.58,0.81063,1.13984,1.0427,0.99053,1,0.995,0.67497,1.2077,1.55947,1.42337,0.000515,0.000515,0.000515
62,841.516,0.64564,1.09985,1.0133,0.99053,1,0.995,0.67497,1.2077,1.55947,1.42337,0.00049025,0.00049025,0.00049025
63,854.377,0.80333,1.04634,1.04767,0.98947,1,0.995,0.66483,1.24447,1.59088,1.38287,0.0004655,0.0004655,0.0004655
64,864.675,0.65806,1.05941,1.01406,0.98947,1,0.995,0.66483,1.24447,1.59088,1.38287,0.00044075,0.00044075,0.00044075
65,874.895,0.77725,1.0566,0.91601,0.98989,1,0.995,0.66483,1.23417,1.56163,1.33992,0.000416,0.000416,0.000416
66,885.166,0.75282,1.38092,1.02508,0.98989,1,0.995,0.66483,1.23417,1.56163,1.33992,0.00039125,0.00039125,0.00039125
67,896.05,0.79751,1.07384,1.02279,0.99022,1,0.995,0.67876,1.21626,1.57554,1.32857,0.0003665,0.0003665,0.0003665
68,906.201,0.78935,1.14768,1.00904,0.99022,1,0.995,0.67876,1.21626,1.57554,1.32857,0.00034175,0.00034175,0.00034175
69,916.46,0.68856,1.07231,1.04475,0.98964,1,0.995,0.6901,1.19057,1.52713,1.33994,0.000317,0.000317,0.000317
70,926.955,0.81166,1.01262,1.03376,0.98964,1,0.995,0.6901,1.19057,1.52713,1.33994,0.00029225,0.00029225,0.00029225
71,937.095,0.67182,1.13884,0.9461,0.9891,1,0.995,0.68779,1.17331,1.47141,1.3374,0.0002675,0.0002675,0.0002675
72,947.336,0.58581,1.12533,0.92651,0.9891,1,0.995,0.68779,1.17331,1.47141,1.3374,0.00024275,0.00024275,0.00024275
73,957.348,0.59811,1.06822,0.91678,0.99037,1,0.995,0.69508,1.15168,1.42574,1.32856,0.000218,0.000218,0.000218
74,967.477,0.5933,1.11622,0.91715,0.99037,1,0.995,0.69508,1.15168,1.42574,1.32856,0.00019325,0.00019325,0.00019325
75,977.637,0.57643,1.06016,0.88952,0.99112,1,0.995,0.69508,1.13694,1.37754,1.33198,0.0001685,0.0001685,0.0001685
76,987.873,0.57071,1.08965,0.9326,0.99112,1,0.995,0.69508,1.13694,1.37754,1.33198,0.00014375,0.00014375,0.00014375
77,997.826,0.52874,1.04276,0.88243,0.99171,1,0.995,0.71484,1.12721,1.3577,1.32818,0.000119,0.000119,0.000119
78,1008.07,0.56385,1.03799,0.89101,0.99171,1,0.995,0.71484,1.12721,1.3577,1.32818,9.425e-05,9.425e-05,9.425e-05
79,1018.2,0.59149,1.04572,0.9266,0.9918,1,0.995,0.71484,1.12233,1.34888,1.32846,6.95e-05,6.95e-05,6.95e-05
80,1028.71,0.52691,1.05983,0.8947,0.9918,1,0.995,0.71484,1.12233,1.34888,1.32846,4.475e-05,4.475e-05,4.475e-05
