                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0218,                0.92723,                 1.3364,                 0.8658,                  0.875,                 0.9326,                0.51246,                 1.6832,                 1.1758,                 2.0059,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.2887,                0.75102,                 1.2934,                 0.8658,                  0.875,                 0.9326,                0.51246,                 1.6832,                 1.1758,                 2.0059,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.0116,                0.83505,                 1.2595,                0.97711,                  0.625,                0.70049,                0.46771,                 1.5169,                 1.7274,                 1.8365,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.0549,                0.94028,                 1.3215,                0.97711,                  0.625,                0.70049,                0.46771,                 1.5169,                 1.7274,                 1.8365,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.2651,                 1.1273,                 1.6749,                0.96962,                   0.75,                0.86089,                0.58317,                 1.3336,                 1.1954,                 1.7111,              0.0016238,              0.0016238,              0.0016238
                     40,                0.91221,                0.69989,                 1.2344,                0.96962,                   0.75,                0.86089,                0.58317,                 1.3336,                 1.1954,                 1.7111,              0.0016139,              0.0016139,              0.0016139
                     41,                0.89677,                0.68029,                 1.2077,                0.98752,                  0.875,                0.92071,                0.52372,                 1.5529,                 1.3943,                 1.9764,               0.001604,               0.001604,               0.001604
                     42,                0.87902,                0.65035,                 1.0874,                0.98752,                  0.875,                0.92071,                0.52372,                 1.5529,                 1.3943,                 1.9764,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.0263,                0.71564,                 1.2745,                0.97756,                  0.875,                0.93147,                0.50927,                 1.6214,                  1.417,                 2.0849,              0.0015842,              0.0015842,              0.0015842
                     44,                0.95645,                0.65852,                 1.2301,                0.97756,                  0.875,                0.93147,                0.50927,                 1.6214,                  1.417,                 2.0849,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.0136,                0.85247,                 1.4829,                      1,                0.86585,                0.96227,                 0.4686,                 1.6285,                  1.177,                 2.0759,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.0575,                0.89542,                 1.3231,                      1,                0.86585,                0.96227,                 0.4686,                 1.6285,                  1.177,                 2.0759,              0.0015545,              0.0015545,              0.0015545
                     47,                0.95367,                0.74892,                 1.3786,                      1,                0.85788,                  0.907,                0.50999,                 1.5427,                 1.8249,                 1.9748,              0.0015446,              0.0015446,              0.0015446
                     48,                0.92914,                0.70169,                 1.2546,                      1,                0.85788,                  0.907,                0.50999,                 1.5427,                 1.8249,                 1.9748,              0.0015347,              0.0015347,              0.0015347
                     49,                0.93623,                0.70836,                 1.1437,                0.96142,                   0.75,                  0.896,                0.38141,                  1.781,                 2.1966,                 2.3346,              0.0015248,              0.0015248,              0.0015248
                     50,                0.93105,                0.69338,                 1.1392,                0.96142,                   0.75,                  0.896,                0.38141,                  1.781,                 2.1966,                 2.3346,              0.0015149,              0.0015149,              0.0015149
                     51,                0.82356,                0.63121,                 1.0806,                0.98385,                  0.875,                0.94885,                0.43789,                 1.5974,                 1.1992,                 2.1836,               0.001505,               0.001505,               0.001505
                     52,                 1.0993,                0.85565,                  1.423,                0.98385,                  0.875,                0.94885,                0.43789,                 1.5974,                 1.1992,                 2.1836,              0.0014951,              0.0014951,              0.0014951
                     53,                0.94167,                0.71306,                 1.1518,                0.97573,                  0.875,                0.89127,                 0.5355,                 1.3091,                 1.6317,                 2.0064,              0.0014852,              0.0014852,              0.0014852
                     54,                0.80398,                0.58233,                 1.1957,                0.97573,                  0.875,                0.89127,                 0.5355,                 1.3091,                 1.6317,                 2.0064,              0.0014753,              0.0014753,              0.0014753
                     55,                0.89253,                0.64909,                 1.1674,                0.97318,                      1,                  0.995,                0.61753,                 1.2928,                 1.4421,                 1.8473,              0.0014654,              0.0014654,              0.0014654
                     56,                0.86824,                0.60392,                 1.1548,                0.97318,                      1,                  0.995,                0.61753,                 1.2928,                 1.4421,                 1.8473,              0.0014555,              0.0014555,              0.0014555
                     57,                0.92374,                 0.6165,                 1.0929,                0.88695,                0.98258,                0.98167,                0.57497,                 1.3673,                0.83476,                 1.9072,              0.0014456,              0.0014456,              0.0014456
                     58,                0.79537,                0.67056,                 1.1748,                0.88695,                0.98258,                0.98167,                0.57497,                 1.3673,                0.83476,                 1.9072,              0.0014357,              0.0014357,              0.0014357
                     59,                0.89588,                0.72238,                 1.2627,                      1,                0.99206,                  0.995,                0.60888,                  1.319,                 0.6654,                  1.731,              0.0014258,              0.0014258,              0.0014258
