                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                 0.4902,                0.32957,                0.95489,                0.99205,                      1,                  0.995,                0.59378,                 1.2852,                0.48666,                 1.6859,              0.0004952,              0.0004952,              0.0004952
                    154,                0.69935,                0.44267,                 1.1576,                0.99205,                      1,                  0.995,                0.59378,                 1.2852,                0.48666,                 1.6859,              0.0004853,              0.0004853,              0.0004853
                    155,                0.60045,                0.40025,                 0.9708,                0.99228,                      1,                  0.995,                0.60192,                 1.2684,                0.49356,                 1.6625,              0.0004754,              0.0004754,              0.0004754
                    156,                0.53122,                0.34717,                0.92752,                0.99228,                      1,                  0.995,                0.60192,                 1.2684,                0.49356,                 1.6625,              0.0004655,              0.0004655,              0.0004655
                    157,                0.53614,                0.36011,                 0.8965,                 0.9926,                      1,                  0.995,                0.63953,                 1.2148,                0.46212,                 1.5766,              0.0004556,              0.0004556,              0.0004556
                    158,                0.63447,                0.39247,                0.99602,                 0.9926,                      1,                  0.995,                0.63953,                 1.2148,                0.46212,                 1.5766,              0.0004457,              0.0004457,              0.0004457
                    159,                0.48972,                0.36246,                0.97461,                0.99326,                      1,                  0.995,                0.66562,                 1.2033,                0.46206,                 1.5358,              0.0004358,              0.0004358,              0.0004358
                    160,                0.58222,                0.44181,                 1.0763,                0.99326,                      1,                  0.995,                0.66562,                 1.2033,                0.46206,                 1.5358,              0.0004259,              0.0004259,              0.0004259
                    161,                0.61596,                0.40457,                 1.0412,                0.99299,                      1,                  0.995,                0.64591,                 1.2119,                0.47091,                 1.5442,               0.000416,               0.000416,               0.000416
                    162,                0.56041,                 0.4149,                0.98863,                0.99299,                      1,                  0.995,                0.64591,                 1.2119,                0.47091,                 1.5442,              0.0004061,              0.0004061,              0.0004061
                    163,                0.54642,                0.36844,                0.86621,                0.99322,                      1,                  0.995,                0.62434,                 1.2461,                0.47438,                 1.5824,              0.0003962,              0.0003962,              0.0003962
                    164,                 0.5854,                0.38467,                0.99882,                0.99322,                      1,                  0.995,                0.62434,                 1.2461,                0.47438,                 1.5824,              0.0003863,              0.0003863,              0.0003863
                    165,                0.73826,                0.45434,                 1.0783,                0.99311,                      1,                  0.995,                 0.6114,                 1.2647,                0.46841,                 1.6062,              0.0003764,              0.0003764,              0.0003764
                    166,                0.65629,                0.53401,                  1.161,                0.99311,                      1,                  0.995,                 0.6114,                 1.2647,                0.46841,                 1.6062,              0.0003665,              0.0003665,              0.0003665
                    167,                0.53485,                0.35631,                 1.0622,                0.99225,                      1,                  0.995,                0.63673,                 1.2444,                0.45132,                  1.582,              0.0003566,              0.0003566,              0.0003566
                    168,                0.52343,                0.32534,                0.98674,                0.99225,                      1,                  0.995,                0.63673,                 1.2444,                0.45132,                  1.582,              0.0003467,              0.0003467,              0.0003467
                    169,                0.52603,                0.39688,                 1.0035,                0.98981,                      1,                  0.995,                0.63733,                 1.2278,                0.45415,                 1.5591,              0.0003368,              0.0003368,              0.0003368
                    170,                 0.4755,                0.36574,                0.97262,                0.98981,                      1,                  0.995,                0.63733,                 1.2278,                0.45415,                 1.5591,              0.0003269,              0.0003269,              0.0003269
                    171,                0.47495,                0.32092,                0.88737,                 0.9874,                      1,                  0.995,                0.64403,                 1.2149,                0.47013,                 1.5501,               0.000317,               0.000317,               0.000317
                    172,                0.44235,                0.30831,                0.93996,                 0.9874,                      1,                  0.995,                0.64403,                 1.2149,                0.47013,                 1.5501,              0.0003071,              0.0003071,              0.0003071
                    173,                0.50088,                 0.3601,                0.99514,                0.98385,                      1,                  0.995,                0.64892,                 1.2166,                0.47795,                 1.5656,              0.0002972,              0.0002972,              0.0002972
                    174,                0.46921,                0.33623,                0.94881,                0.98385,                      1,                  0.995,                0.64892,                 1.2166,                0.47795,                 1.5656,              0.0002873,              0.0002873,              0.0002873
                    175,                0.52582,                0.35805,                 1.0669,                0.98311,                      1,                  0.995,                0.66388,                 1.2101,                0.49027,                 1.5503,              0.0002774,              0.0002774,              0.0002774
                    176,                0.45451,                 0.3455,                0.94323,                0.98311,                      1,                  0.995,                0.66388,                 1.2101,                0.49027,                 1.5503,              0.0002675,              0.0002675,              0.0002675
                    177,                0.56219,                0.33898,                0.94129,                0.98307,                      1,                  0.995,                0.66501,                 1.2062,                0.49275,                 1.5466,              0.0002576,              0.0002576,              0.0002576
                    178,                0.61742,                0.44418,                 1.0067,                0.98307,                      1,                  0.995,                0.66501,                 1.2062,                0.49275,                 1.5466,              0.0002477,              0.0002477,              0.0002477
                    179,                0.53034,                0.37301,                0.99113,                0.98354,                      1,                  0.995,                0.67111,                 1.2093,                0.47999,                 1.5433,              0.0002378,              0.0002378,              0.0002378
                    180,                0.40743,                0.37317,                 0.9187,                0.98354,                      1,                  0.995,                0.67111,                 1.2093,                0.47999,                 1.5433,              0.0002279,              0.0002279,              0.0002279
                    181,                0.50014,                0.32612,                0.99209,                0.98442,                      1,                  0.995,                0.69247,                 1.2075,                0.48385,                 1.5371,               0.000218,               0.000218,               0.000218
                    182,                0.46939,                 0.3948,                  1.035,                0.98442,                      1,                  0.995,                0.69247,                 1.2075,                0.48385,                 1.5371,              0.0002081,              0.0002081,              0.0002081
                    183,                0.41873,                0.30761,                0.93138,                0.98615,                      1,                  0.995,                0.70743,                 1.2007,                0.48399,                 1.5392,              0.0001982,              0.0001982,              0.0001982
                    184,                0.66026,                0.40459,                 1.0848,                0.98615,                      1,                  0.995,                0.70743,                 1.2007,                0.48399,                 1.5392,              0.0001883,              0.0001883,              0.0001883
                    185,                0.49361,                0.35082,                0.93381,                0.98808,                      1,                  0.995,                0.70968,                   1.19,                0.46724,                 1.5491,              0.0001784,              0.0001784,              0.0001784
                    186,                0.40048,                0.26632,                0.86455,                0.98808,                      1,                  0.995,                0.70968,                   1.19,                0.46724,                 1.5491,              0.0001685,              0.0001685,              0.0001685
                    187,                 0.4961,                0.34618,                0.96662,                0.98838,                      1,                  0.995,                0.71815,                 1.1789,                0.45374,                  1.548,              0.0001586,              0.0001586,              0.0001586
                    188,                0.46569,                0.35321,                 1.0063,                0.98838,                      1,                  0.995,                0.71815,                 1.1789,                0.45374,                  1.548,              0.0001487,              0.0001487,              0.0001487
                    189,                0.56893,                0.44972,                 1.0557,                0.98785,                      1,                  0.995,                 0.6857,                 1.1734,                0.46258,                 1.5428,              0.0001388,              0.0001388,              0.0001388
                    190,                0.49966,                0.31469,                 1.0131,                0.98785,                      1,                  0.995,                 0.6857,                 1.1734,                0.46258,                 1.5428,              0.0001289,              0.0001289,              0.0001289
                    191,                0.46122,                0.33372,                0.95718,                0.98856,                      1,                  0.995,                0.68539,                  1.179,                0.45071,                 1.5525,               0.000119,               0.000119,               0.000119
                    192,                0.43377,                0.34616,                0.96211,                0.98856,                      1,                  0.995,                0.68539,                  1.179,                0.45071,                 1.5525,              0.0001091,              0.0001091,              0.0001091
                    193,                0.52826,                0.34408,                 1.0274,                0.98951,                      1,                  0.995,                 0.6857,                 1.1803,                0.45193,                 1.5555,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.34117,                0.28282,                0.85554,                0.98951,                      1,                  0.995,                 0.6857,                 1.1803,                0.45193,                 1.5555,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.33957,                 0.2519,                0.87756,                0.98913,                      1,                  0.995,                0.70054,                  1.182,                0.45268,                 1.5528,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.34963,                 0.2851,                0.90782,                0.98913,                      1,                  0.995,                0.70054,                  1.182,                0.45268,                 1.5528,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                0.42552,                0.29139,                0.90009,                0.98958,                      1,                  0.995,                0.70023,                 1.1825,                0.44533,                 1.5575,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                 0.3836,                0.30537,                 1.0001,                0.98958,                      1,                  0.995,                0.70023,                 1.1825,                0.44533,                 1.5575,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                 0.5582,                0.33683,                 1.0903,                0.99004,                      1,                  0.995,                0.70054,                 1.1841,                0.43454,                 1.5547,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                 0.3904,                0.29918,                0.85512,                0.99004,                      1,                  0.995,                0.70054,                 1.1841,                0.43454,                 1.5547,               2.99e-05,               2.99e-05,               2.99e-05
