epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3693,1.77098,4.08523,1.60791,0.00333,1,0.01905,0.01003,1.61263,4.28658,1.62741,6e-05,6e-05,6e-05
2,31.8984,1.23425,3.48986,1.25521,0.00333,1,0.19609,0.12616,1.17243,3.66694,1.13361,0.00013538,0.00013538,0.00013538
3,47.2906,1.19692,3.53788,1.26229,0.00333,1,0.51403,0.3825,1.03566,3.57618,1.07548,0.00020548,0.00020548,0.00020548
4,62.0593,1.09819,3.45342,1.18117,0.00333,1,0.78533,0.57131,0.99465,3.53669,1.06938,0.0002703,0.0002703,0.0002703
5,76.354,1.14774,3.10475,1.1159,0.00333,1,0.80264,0.54848,0.9989,3.55396,1.06174,0.00032984,0.00032984,0.00032984
6,89.3898,1.22586,2.97549,1.21843,0.00333,1,0.90672,0.54544,1.05164,3.52244,1.07917,0.0003841,0.0003841,0.0003841
7,102.519,0.93813,2.60551,0.99993,0.00333,1,0.84141,0.49489,0.99134,3.64227,1.0079,0.00043308,0.00043308,0.00043308
8,115.666,1.16144,2.39341,1.12733,0.00333,1,0.89715,0.50824,1.01908,3.5911,1.02882,0.00047678,0.00047678,0.00047678
9,128.906,1.22692,2.3633,1.18846,0.00333,1,0.89875,0.49066,1.229,3.46485,1.12578,0.0005152,0.0005152,0.0005152
10,142.291,1.15334,2.16019,1.10199,0.00333,1,0.89715,0.52429,1.19982,3.46799,1.11379,0.00054834,0.00054834,0.00054834
11,155.168,1.04479,2.14892,1.1177,0.00333,1,0.88401,0.51951,1.13611,3.39693,1.04498,0.0005762,0.0005762,0.0005762
12,168.403,1.05435,1.86222,1.05272,0.00333,1,0.83692,0.46841,1.05162,3.38566,1.02575,0.00059878,0.00059878,0.00059878
13,183.039,0.99025,1.9571,1.04299,0.00333,1,0.77073,0.42282,1.00915,3.55244,1.05605,0.00061608,0.00061608,0.00061608
14,198.059,1.11213,1.89508,1.16737,0.00333,1,0.78833,0.47829,1.05087,3.47576,1.08976,0.0006281,0.0006281,0.0006281
15,213.675,1.11715,1.85135,1.18897,0.00333,1,0.86885,0.49804,1.06803,3.342,1.09171,0.00063484,0.00063484,0.00063484
16,227.639,1.27198,2.25493,1.2443,0.00333,1,0.86885,0.49804,1.06803,3.342,1.09171,0.0006363,0.0006363,0.0006363
17,244.516,1.05846,1.73836,1.22552,0.00333,1,0.89886,0.50541,1.07674,3.2751,1.12058,0.00063248,0.00063248,0.00063248
18,258.874,1.04057,1.73739,1.0458,0.84377,0.625,0.90968,0.50185,1.13861,3.1742,1.15466,0.00062338,0.00062338,0.00062338
19,272.844,1.11397,1.89719,1.14528,0.84377,0.625,0.90968,0.50185,1.13861,3.1742,1.15466,0.000609,0.000609,0.000609
20,287.953,0.99962,1.46076,1.04344,0.94849,0.625,0.86173,0.44618,1.20899,3.23626,1.17872,0.00058934,0.00058934,0.00058934
21,303.881,0.87727,1.79744,1.03293,1,0.24611,0.79356,0.45338,1.28831,3.17363,1.27921,0.0005644,0.0005644,0.0005644
22,320.053,0.84673,1.66751,1.02154,1,0.24611,0.79356,0.45338,1.28831,3.17363,1.27921,0.00053418,0.00053418,0.00053418
23,333.517,0.9147,1.71809,1.03819,1,0.39764,0.81955,0.49699,1.24366,3.03468,1.23718,0.00049868,0.00049868,0.00049868
24,347.483,0.86249,1.60548,0.982,1,0.39764,0.81955,0.49699,1.24366,3.03468,1.23718,0.0004579,0.0004579,0.0004579
25,362.709,0.8023,1.59571,1.00611,1,0.54528,0.82965,0.59834,1.19714,2.91684,1.19267,0.00041184,0.00041184,0.00041184
26,379.085,0.75414,1.81616,0.94041,1,0.54528,0.82965,0.59834,1.19714,2.91684,1.19267,0.00035,0.00035,0.00035
27,395.485,0.89302,1.75082,1.00465,1,0.59718,0.96227,0.64788,1.17397,2.70377,1.12547,0.000284,0.000284,0.000284
28,410.613,0.8508,1.67859,0.98238,1,0.59718,0.96227,0.64788,1.17397,2.70377,1.12547,0.000218,0.000218,0.000218
29,424.975,0.8857,1.63559,0.9533,1,0.84868,0.995,0.64673,1.23413,2.53533,1.17998,0.000152,0.000152,0.000152
30,438.884,0.84643,1.67549,0.94601,1,0.84868,0.995,0.64673,1.23413,2.53533,1.17998,8.6e-05,8.6e-05,8.6e-05
